        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 6-Pin #1 Power [W] , 6-Pin #1 Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , USB-C Power Draw [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-06-16 10:17:08 ,        1995.0   ,           1767.5   ,               63.0   ,        76.4   ,                52   ,                     0   ,                52   ,                     0   ,           7469   ,         99   ,                       39   ,                   0   ,                   24   ,              224.3   ,                 178.6   ,               14.0   ,               24.1   ,              40.5   ,                11.7   ,             91.8   ,               11.8   ,             91.7   ,               11.8   ,                0.1   ,                        81.5   ,              16   ,        1.0430   ,               62.0   ,                 21469   ,
2023-06-16 10:17:09 ,        1995.0   ,           1767.5   ,               63.0   ,        76.4   ,                52   ,                     0   ,                52   ,                     0   ,           7464   ,         99   ,                       38   ,                   0   ,                   24   ,              227.6   ,                 181.8   ,               14.0   ,               24.1   ,              41.0   ,                11.7   ,             93.2   ,               11.8   ,             93.2   ,               11.8   ,                0.1   ,                        82.8   ,              16   ,        1.0430   ,               64.0   ,                 21506   ,
2023-06-16 10:17:10 ,        1995.0   ,           1767.5   ,               63.3   ,        76.8   ,                52   ,                     0   ,                52   ,                     0   ,           7472   ,         99   ,                       38   ,                   0   ,                   24   ,              228.4   ,                 182.4   ,               14.1   ,               24.2   ,              41.2   ,                11.7   ,             93.5   ,               11.8   ,             93.5   ,               11.8   ,                0.1   ,                        83.1   ,              16   ,        1.0430   ,               68.0   ,                 21499   ,
2023-06-16 10:17:11 ,        1995.0   ,           1767.5   ,               63.2   ,        76.6   ,                52   ,                     0   ,                52   ,                     0   ,           7474   ,         97   ,                       38   ,                   0   ,                   24   ,              225.7   ,                 179.9   ,               14.1   ,               24.2   ,              40.7   ,                11.7   ,             92.3   ,               11.8   ,             92.4   ,               11.8   ,                0.1   ,                        82.1   ,              16   ,        1.0430   ,               70.0   ,                 21470   ,
2023-06-16 10:17:12 ,        1995.0   ,           1767.5   ,               63.3   ,        76.6   ,                52   ,                     0   ,                52   ,                     0   ,           7476   ,         99   ,                       38   ,                   0   ,                   24   ,              228.1   ,                 182.2   ,               14.0   ,               24.1   ,              41.1   ,                11.7   ,             93.4   ,               11.8   ,             93.4   ,               11.8   ,                0.1   ,                        82.9   ,              16   ,        1.0430   ,               69.0   ,                 21487   ,
2023-06-16 10:17:13 ,             -   ,                -   ,                  -   ,           -   ,                 -   ,                     -   ,                 -   ,                     -   ,              -   ,          -   ,                        -   ,                   -   ,                    -   ,                  -   ,                 179.5   ,               14.0   ,               24.2   ,              40.7   ,                11.7   ,             92.0   ,               11.8   ,             92.2   ,               11.8   ,                0.1   ,                        81.9   ,              16   ,        1.0430   ,               65.0   ,                 21486   ,
2023-06-16 10:17:14 ,        1995.0   ,           1767.5   ,               63.3   ,        76.8   ,                52   ,                     0   ,                52   ,                     0   ,           7478   ,         99   ,                       39   ,                   0   ,                   24   ,              226.9   ,                 181.1   ,               14.1   ,               24.2   ,              40.9   ,                11.7   ,             92.9   ,               11.8   ,             92.9   ,               11.8   ,                0.1   ,                        82.5   ,              16   ,        1.0430   ,               71.0   ,                 21503   ,
2023-06-16 10:17:15 ,        1995.0   ,           1767.5   ,               63.2   ,        76.6   ,                52   ,                     0   ,                52   ,                     0   ,           7472   ,         99   ,                       39   ,                   0   ,                   24   ,              222.4   ,                 176.9   ,               14.0   ,               24.1   ,              40.3   ,                11.7   ,             90.7   ,               11.8   ,             91.1   ,               11.8   ,                0.1   ,                        80.9   ,              16   ,        1.0430   ,               63.0   ,                 21488   ,
2023-06-16 10:17:16 ,        1995.0   ,           1767.5   ,               63.3   ,        76.7   ,                52   ,                     0   ,                52   ,                     0   ,           7481   ,         99   ,                       39   ,                   0   ,                   24   ,              223.7   ,                 178.1   ,               14.1   ,               24.2   ,              40.5   ,                11.7   ,             91.4   ,               11.8   ,             91.6   ,               11.8   ,                0.1   ,                        81.4   ,              16   ,        1.0430   ,               72.0   ,                 21472   ,
2023-06-16 10:17:17 ,        1995.0   ,           1767.5   ,               63.2   ,        76.7   ,                52   ,                     0   ,                52   ,                     0   ,           7483   ,         99   ,                       39   ,                   0   ,                   24   ,              226.6   ,                 180.7   ,               14.1   ,               24.3   ,              40.9   ,                11.7   ,             92.6   ,               11.8   ,             92.8   ,               11.8   ,                0.1   ,                        82.4   ,              16   ,        1.0430   ,               68.0   ,                 21475   ,
